timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1544189694341,15230,10 /login.php-0,302,Found,Users 1-3,text,true,,492,615,5,5,http://www.newtours.demoaut.com/login.php,15230,0,0
1544189709571,605,10 /login.php-1,200,OK,Users 1-3,text,true,,15043,537,5,5,http://newtours.demoaut.com/mercuryreservation.php?osCsid=5bba2f0ab8a265a8e6980f041540d71f,463,0,143
1544189710041,141,13 /images/forms/continue.gif,200,OK,Users 1-1,bin,true,,749,419,5,5,http://newtours.demoaut.com/images/forms/continue.gif,141,0,0
1544189710081,141,12 /images/spacer.gif,404,Not Found,Users 1-4,text,false,,534,411,5,5,http://newtours.demoaut.com/images/spacer.gif,141,0,0
1544189694151,16082,10 /login.php,200,OK,Users 1-2,text,false,"The operation lasted too long: It took 16,082 milliseconds, but should not have lasted longer than 1,000 milliseconds.",15535,1152,5,5,http://newtours.demoaut.com/mercuryreservation.php?osCsid=5bba2f0ab8a265a8e6980f041540d71f,15409,0,0
1544189694151,15409,10 /login.php-0,302,Found,Users 1-2,text,true,,492,615,5,5,http://www.newtours.demoaut.com/login.php,15409,0,0
1544189709560,673,10 /login.php-1,200,OK,Users 1-2,text,true,,15043,537,5,5,http://newtours.demoaut.com/mercuryreservation.php?osCsid=5bba2f0ab8a265a8e6980f041540d71f,533,0,140
1544189710156,141,14 /favicon.ico,404,Not Found,Users 1-5,text,false,,528,364,5,5,http://newtours.demoaut.com/favicon.ico,141,0,0
1544189710176,144,13 /images/forms/continue.gif,200,OK,Users 1-3,bin,true,,749,419,5,5,http://newtours.demoaut.com/images/forms/continue.gif,144,0,0
1544189710182,141,12 /images/spacer.gif,404,Not Found,Users 1-1,text,false,,534,411,5,5,http://newtours.demoaut.com/images/spacer.gif,141,0,0
1544189710222,141,14 /favicon.ico,404,Not Found,Users 1-4,text,false,,528,364,5,5,http://newtours.demoaut.com/favicon.ico,141,0,0
1544189710233,141,13 /images/forms/continue.gif,200,OK,Users 1-2,bin,true,,749,419,5,5,http://newtours.demoaut.com/images/forms/continue.gif,141,0,0
